"Date","Basic Prime Lending Rate","Demand Loan Rate","Ordinary Savings Deposit Rate","Overdraft Loan Rate","Real Estate Mortgage Loan Rate","Term Loan Rate"
"Mar-2025","7.50","","","","",""
"Feb-2025","7.50","","","","",""
"Jan-2025","7.50","","","","",""
"Dec-2024","7.50","5.35","0.04","7.5","4.25","4"
"Nov-2024","7.50","5.35","0.04","7.5","5.8","4"
"Oct-2024","7.50","5.09","0.04","7.38","5.75","3.99"
"Sep-2024","7.50","5.09","0.04","7.38","5.75","4"
"Aug-2024","7.50","5.35","0.04","7.38","5.75","4"
"Jul-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"Jun-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"May-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"Apr-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"Mar-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"Feb-2024","7.50","5.35","0.04","7.5","5.75","3.99"
"Jan-2024","7.50","5.35","0.04","7.38","5.75","3.99"
"Dec-2023","7.50","5.13","0.04","7.38","5.75","4"
"Nov-2023","7.50","5.09","0.05","7.38","5.75","3.99"
"Oct-2023","7.50","5.09","0.04","7.38","5.75","3.99"
"Sep-2023","7.50","5.09","0.04","7.38","5.75","3.99"
"Aug-2023","7.50","5.35","0.04","7.5","5.78","4.15"
"Jul-2023","7.50","5.13","0.04","7.5","5.75","4"
"Jun-2023","7.50","5.13","0.04","7.5","5.75","4"
"May-2023","7.50","5.13","0.04","7.5","5.75","4"
"Apr-2023","7.50","2.93","0.04","7.5","5.75","4"
"Mar-2023","7.50","5.09","0.04","7.5","5.75","4"
"Feb-2023","7.50","5.09","0.04","7.5","5.75","4"
"Jan-2023","7.50","5.13","0.04","7.38","5.75","4"
"Dec-2022","7.50","5.13","0.04","7.38","5.75","4"
"Nov-2022","7.50","5.09","0.04","7.5","5.75","4"
"Oct-2022","7.50","5.09","0.04","7.5","5.75","4"
"Sep-2022","7.50","5.09","0.04","7.38","5.75","4"
"Aug-2022","7.50","5.13","0","7.38","5.68","4"
"Jul-2022","7.50","5.13","0.04","7.38","5.75","4"
"Jun-2022","7.50","5.13","0.04","7.38","5.75","4"
"May-2022","7.50","5.13","0.04","7.5","5.63","4"
"Apr-2022","7.50","5.09","0.04","7.5","5.63","4"
