Year,Constituency,Total Votes,Voter Turnout (%),PNM Votes (%),UNC Votes (%),COP Votes (%)
2007,ARIMA,13464,58.93630991464215,63.896316102198455,9.090909090909092,25.727866904337493
2007,AROUCA/MALONEY,15948,67.36788746673426,75.58941560070228,9.28016052169551,14.879608728367193
2007,BARATARIA/SAN JUAN,16451,66.88214009838597,43.63868457844508,32.59376329706401,23.202236946082305
2007,CARONI CENTRAL,16640,72.94086704948933,27.518028846153847,45.76322115384615,26.442307692307693
2007,CARONI EAST,16460,69.88197333786194,23.286755771567435,50.62575941676792,25.698663426488455
2007,CHAGUANAS EAST,15887,70.97797435553768,42.53162963429219,31.428211745452256,25.719141436394537
2007,CHAGUANAS WEST,18029,74.27900461437046,8.42531477064729,61.844805590992294,29.27505685284819
2007,COUVA NORTH,18992,73.33384817360414,27.63795282224094,46.503791069924176,25.479149115417016
2007,COUVA SOUTH,17987,71.4109893600127,28.337132373380776,46.856062711958636,24.51214766220048
2007,CUMUTO/MANZANILLA,17751,71.8663967611336,40.13295025632358,41.50752070305898,17.93138414737198
2007,D'ABADIE/O'MEARA,15086,63.07911021910019,58.84263555614477,16.074506164655972,24.492907331300543
2007,DIEGO MARTIN CENTRAL,15483,59.60731472569779,60.072337402312215,3.758961441581089,36.0007750435962
2007,DIEGO MARTIN NORTH/EAST,15289,56.352511886771595,61.14853816469357,5.736150173327228,32.853685656354244
2007,DIEGO MARTIN WEST,15399,57.78019586507072,59.880511721540365,3.331385154880187,36.36599779206442
2007,FYZABAD,18562,74.99191984486102,38.79431095787092,40.739144488740436,20.116366770822108
2007,LA BREA,15497,67.27880524442129,64.88352584371168,22.520487836355425,12.00877589210815
2007,LA HORQUETTA/TALPARO,14479,63.815064568733746,57.49015816009393,24.131500794253746,17.90869535188894
2007,LAVENTILLE EAST/MORVANT,13767,51.89415356779373,80.40241156388466,8.040967531052518,11.149851093193869
2007,LAVENTILLE WEST,12110,47.2437873054266,87.83649876135425,2.832369942196532,8.959537572254336
2007,LOPINOT/BON AIR WEST,15690,68.71332223876675,54.39770554493308,24.90121096239643,20.331421287444233
2007,MAYARO,18802,74.02070784614779,43.27731092436975,45.80895649399,10.312732688011913
2007,MORUGA/TABLELAND,18607,73.54254772538636,48.949320148331275,42.59149782339979,7.873380985650562
2007,NAPARIMA,17595,69.54270582190428,16.436487638533677,58.75532821824382,24.381926683716966
2007,OROPOUCHE EAST,18798,76.81745739855339,16.390041493775932,54.02702415150548,29.19991488456219
2007,OROPOUCHE WEST,16457,63.69794085771792,22.051406696238683,52.075104818618215,25.508901986996413
2007,POINT FORTIN,15785,70.11504464087416,58.64428254672157,16.72473867595819,24.314222363002852
2007,POINTE-A-PIERRE,17428,73.12856663309836,43.062887307780585,35.511820059674086,21.023640119348176
2007,PORT-OF-SPAIN NORTH/ST. ANN'S WEST,12340,50.435280173294636,67.73905996758509,2.471636952998379,29.529983792544574
2007,PORT-OF-SPAIN SOUTH,11630,52.77487861324137,67.26569217540843,4.866723989681857,27.00773860705073
2007,PRINCES TOWN,17425,71.98033707865169,30.404591104734575,47.23672883787661,21.9454806312769
2007,SAN FERNANDO EAST,15047,68.09521654523239,68.58510001993753,10.832724131056025,20.296404598923374
2007,SAN FERNANDO WEST,14683,69.8027097694319,50.200912620036775,15.705237349315535,33.71926717973166
2007,SIPARIA,18272,71.18868586122258,25.60201401050788,56.49627845884413,17.32705779334501
2007,ST. ANN'S EAST,14389,56.438517356344384,69.55313086385434,7.3667384807839325,22.565848912363613
2007,ST. AUGUSTINE,17818,72.98271483574999,24.183410034796275,39.52744415759344,36.064653720956336
2007,ST. JOSEPH,17092,68.55446815337719,46.624151649894685,28.855604961385446,24.245260940791013
2007,TABAQUITE,18620,72.39502332814929,29.758324382384533,38.70032223415682,31.106337271750807
2007,TOBAGO EAST,10880,56.31469979296067,52.242647058823536,0.0,2.1783088235294117
2007,TOBAGO WEST,11756,53.59226841721372,58.268118407621635,0.0,4.006464783940116
