DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1962-12-31,0.5595913102466,630,
1963-12-31,0.6660644366547,740,
1964-12-31,0.7265574261941,800,
1965-12-31,0.7465396981382,800,
1966-12-31,0.6948931154189,740,
1967-12-31,0.7137226883334,750,
1968-12-31,0.7387215308401,760,
1969-12-31,0.7551589840515,770,
1970-12-31,0.7860018147748,790,
1971-12-31,0.8277567726512,830,
1972-12-31,0.9716988821074,960,
1973-12-31,1.1777118364898,1150,
1974-12-31,1.4938294162626,1440,
1975-12-31,2.192457533911,2080,
1976-12-31,2.5905446600295,2430,
1977-12-31,2.9186239648333,2700,
1978-12-31,3.5436633561667,3230,
1979-12-31,4.2081861772376,3780,
1980-12-31,5.5769099366439,4940,
1981-12-31,6.6730948424974,5840,
1982-12-31,7.5120299310217,6490,
1983-12-31,6.9657914993159,5950,
1984-12-31,6.9644368481432,5880,
1985-12-31,6.9023415690167,5750,
1986-12-31,6.0179768498612,4950,
1987-12-31,5.1175096281289,4160,
1988-12-31,4.7263779590031,3800,
1989-12-31,4.4000501338987,3500,
1990-12-31,4.5253015936451,3570,
1991-12-31,4.7810269677254,3750,
1992-12-31,5.4610238784463,4250,
1993-12-31,5.070857559758,3920,
1994-12-31,4.846172418532,3720,
1995-12-31,4.9852253403089,3810,
1996-12-31,5.3209413770822,4050,
1997-12-31,5.6723294101172,4300,
1998-12-31,5.8312742106271,4410,
1999-12-31,6.1771542183291,4650,
2000-12-31,6.8409758728803,5140,
2001-12-31,7.7249612904353,5770,
2002-12-31,8.6375930812542,6420,
2003-12-31,10.361260386423,7650,
2004-12-31,12.510201283709,9190,
2005-12-31,14.502112092133,10590,
2006-12-31,17.294569359299,12560,
2007-12-31,19.625723078641,14170,
2008-12-31,22.800133236765,16370,
2009-12-31,21.399675055474,15270,
2010-12-31,21.8619647754,15500,
2011-12-31,20.00116515862,14090,
2012-12-31,24.158091956032,16890,
2013-12-31,27.165850354992,18860,
2014-12-31,27.990291913287,19290,
2015-12-31,27.998259926482,19170,
2016-12-31,24.319311208714,16550,
2017-12-31,23.122021166457,15640,
2018-12-31,23.223162185774,15430,
2019-12-31,23.926356761676,15740,
2020-12-31,20.753223790654,13670,
2021-12-31,22.659904897348,14850,
2022-12-31,24.788547091652,16190,
2023-12-31,27.538750899819,17940,
