Year,GDP (Per Capita)
1981,17100.50
1982,19838.30
1983,18940.40
1984,18875.30
1985,18324.30
1986,17506.90
1987,17583.30
1988,17597.20
1989,18719.70
1990,21910.30
1991,23003.50
1992,23592.60
1993,25486.50
1994,29344.20
1995,32532.30
1996,36127.00
1997,37421.70
1998,39724.90
1999,44644.90
2000,51587.70
2001,55243.10
2002,56545.40
2003,71434.10
2004,83943.10
2005,101088.30
2006,116394.20
2007,137413.60
2008,175686.40
2009,121779.30
2010,141855.10
2011,163582.70
2012,174545.60
2013,180383.50
2014,187049.30
2015,185992.80
2016,172222.90
2017,163924.20
2018,162308.70
2019,163074.50
2020,148556.30
2021,147201.50
2022,148794.50
2023,150918.00
