"Date","Yen Buying","Yen Selling","US Buying","US Selling","Barbados Buying Rate","Barbados Selling Rate","Canadian Buying Rate","Canadian Selling Rate","Swiss Franc Buying Rate","Swiss Franc Selling Rate","EC Buying","EC Selling","Euro Buying","Euro Selling","Pound Buying","Pound Selling","Guyanese Buying","Guyanese Selling"
"2020","0.0630","0.0666","6.7204","6.7803","3.0145","3.5265","5.0261","5.3627","7.1418","7.4692","2.4017","2.6083","7.7617","8.2307","8.6183","9.2182","0.0308","0.0320"
"2019","0.0617","0.0653","6.7306","6.7800","2.9722","3.5199","5.0538","5.3813","6.6645","7.0753","2.4026","2.6062","7.5445","8.0224","8.5342","9.1294","0.0310","0.0321"
"2018","0.0609","0.0642","6.7321","6.7813","3.0253","3.5200","5.1438","5.4918","6.7467","7.2125","2.4105","2.6081","7.9261","8.4500","8.9231","9.5572","0.0311","0.0323"
"2017","0.0599","0.0628","6.7283","6.7795","3.2014","3.5195","5.1182","5.4517","6.6230","7.1055","2.4061","2.6132","7.5373","8.0093","8.6071","9.1537","0.0314","0.0326"
"2016","0.0632","0.0642","6.6152","6.6715","3.1694","3.4586","4.9425","5.2478","6.5403","6.9633","2.3779","2.5788","7.2682","7.6602","8.8462","9.4051","0.0314","0.0327"
"2015","0.0522","0.0546","6.3298","6.3776","3.0357","3.2837","4.8932","5.1793","6.4836","6.8578","2.2653","2.4485","6.9171","7.3032","9.5120","10.0569","0.0301","0.0312"
"2014","0.0602","0.0607","6.3613","6.4086","2.7995","3.2776","5.6779","5.9750","6.7732","7.2603","2.2761","2.4384","8.2714","8.6831","10.2525","10.7882","0.0303","0.0314"
"2013","0.0656","0.0662","6.3885","6.4426","2.7352","3.2935","6.1134","6.4166","6.7316","7.1737","2.2886","2.4468","8.2916","8.6617","9.7838","10.2313","0.0306","0.0329"
"2012","0.0799","0.0807","6.3716","6.4349","2.7123","3.2917","6.2971","6.5787","6.6408","7.0760","2.2977","2.4425","8.0181","8.3414","9.8817","10.3595","0.0306","0.0319"
"2011","0.0800","0.0807","6.3731","6.4261","2.7422","3.2816","6.3605","6.6262","7.1226","7.4970","2.2925","2.4321","8.6736","9.0375","9.9974","10.4562","0.0308","0.0320"
"2010","0.0722","0.0729","6.3203","6.3757","2.7427","3.2543","6.0640","6.3055","5.9781","6.2769","2.2750","2.4166","8.2477","8.5850","9.6021","10.0445","0.0305","0.0317"
"2009","0.0670","0.0679","6.2736","6.3259","2.8194","3.2190","5.4486","5.6911","5.6503","6.0022","2.2527","2.3898","8.5703","8.9866","9.6108","10.0982","0.0304","0.0316"
"2008","0.0621","0.0609","6.2236","6.2891","2.8266","3.2010","5.7929","6.0553","5.6325","5.9348","2.2361","2.3788","8.9735","9.3961","11.2925","11.8596","0.0302","0.0314"
"2007","0.0531","0.0538","6.2736","6.3282","2.8485","3.2184","5.7744","6.0402","5.0763","5.3847","2.2406","2.3959","8.4361","8.7990","12.2988","12.8852","0.0305","0.0318"
"2006","0.0536","0.0545","6.2494","6.3123","2.8437","3.2171","5.4430","5.6765","4.8575","5.1468","2.2215","2.3932","7.7153","8.0420","11.3205","11.8324","0.0306","0.0319"
"2005","0.0566","0.0595","6.2318","6.2996","2.9192","3.1895","5.0866","5.2849","4.9154","5.1104","2.2300","2.3786","7.6171","7.8818","11.1559","11.6325","0.0748","0.0769"
"2004","0.0575","0.0583","6.2440","6.2990","2.8514","3.1873","4.7107","4.9058","4.8974","5.1361","2.2421","2.3330","7.5991","7.9244","11.1954","11.6742","0.0310","0.0336"
"2003","0.0538","0.0545","6.2312","6.2952","2.9063","3.1744","4.3681","4.5563","4.5401","4.7295","2.2414","2.3658","6.8813","7.2050","9.9840","10.4060","0.0327","0.0328"
"2002","0.0494","0.0501","6.1747","6.2473","2.9158","3.1663","3.8622","4.0202","3.9417","4.0370","2.2131","2.3588","5.7305","5.9724","9.1237","9.4925","0.8005","0.8258"
"2001","0.0544","0.0534","6.1679","6.2314","2.9181","3.1710","3.9397","4.0916","3.6175","3.7476","2.2013","2.3564","5.4881","5.6632","8.7703","9.1134","0.0344","0.0337"
"2000","0.0581","0.0587","6.2502","6.2998","4.1650","3.2061","4.1599","4.3188","3.6877","3.7554","2.2445","2.3773","5.8441","6.0074","9.3961","9.7412","0.0438","0.0446"
