ELECTORAL_DISTRICT,ELECTORATE,TOTAL_NUMBER_OF_VOTES_CAST,VOTER_TURNOUT,REJECTED_BALLOTS,VALID_VOTES,P.N.M._VOTES,P.N.M._VOTES_%,U.N.C._VOTES,U.N.C._VOTES_%,C.O.P._VOTES,C.O.P._VOTES_%,D.A.C._VOTES,D.A.C._VOTES_%,D.N.A._VOTES,D.N.A._VOTES_%,I.N.D_VOTES,I.N.D._VOTES_%,Year,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Annual (Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y,N.N.V._VOTES,N.N.V._VOTES_%,T.O.P._VOTES,T.O.P._VOTES_%,T.H.C._VOTES,T.H.C._VOTES_%,T.T.N.C.P._VOTES,T.T.N.C.P._VOTES_%,I.L.P._VOTES,I.L.P._VOTES_%,N.J.A.C._VOTES,N.J.A.C._VOTES_%,D.D.P._VOTES,D.D.P._VOTES_%,I.D.P._VOTES,I.D.P._VOTES_%,L.O.V.E._VOTES,L.O.V.E._VOTES_%,N.C.T._VOTES,N.C.T._VOTES_%,T.F._VOTES,T.F._VOTES_%,T.N.V._VOTES,T.N.V._VOTES_%,T.P.T._VOTES,T.P.T._VOTES_%,Y.E.P._VOTES,Y.E.P._VOTES_%,Y.O.U.R._VOTES,Y.O.U.R._VOTES_%,P.E.P._VOTES,P.E.P._VOTES_%,D.P.T._VOTES,D.P.T._VOTES_%,M.N.D._VOTES,M.N.D._VOTES_%,M.S.J._VOTES,M.S.J._VOTES_%,N.O.W._VOTES,N.O.W._VOTES_%,O.T.V._VOTES,O.T.V._VOTES_%,P.D.P._VOTES,P.D.P._VOTES_%,P.P._VOTES,P.P._VOTES_%,T.D.F._VOTES,T.D.F._VOTES_%,T.N.P._VOTES,T.N.P._VOTES_%,U.P.P._VOTES,U.P.P._VOTES_%,U.T.P._VOTES,U.T.P._VOTES_%,Winning_Party,Margin_of_Victory
ARIMA,22845,13464,0.5893630991464215,91,13373,8603,0.6433111493307411,1224.0,0.09152770507739474,3464.0,0.25902938757197336,0.0,0.0,0.0,0.0,82.0,0.006131758019890824,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.5517834442533464
AROUCA/MALONEY,23673,15948,0.6736788746673426,40,15908,12055,0.7577948202162434,1480.0,0.09303495096806638,2373.0,0.14917022881569023,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.6647598692481771
BARATARIA/SAN JUAN,24597,16451,0.6688214009838598,93,16358,7179,0.4388678322533317,5362.0,0.3277906834576354,3817.0,0.2333414842890329,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.1110771487956963
CARONI CENTRAL,22813,16640,0.7294086704948932,46,16594,4579,0.2759431119681813,7615.0,0.45890080752079065,4400.0,0.26515608051102807,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.18295769555260938
CARONI EAST,23554,16460,0.6988197333786194,64,16396,3833,0.23377653086118566,8333.0,0.5082337155403757,4230.0,0.2579897535984386,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.27445718467919
CHAGUANAS EAST,22383,15887,0.7097797435553769,51,15836,6757,0.4266860318262187,4993.0,0.31529426622884565,4086.0,0.25801970194493556,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.N.M._VOTES_%,0.11139176559737307
CHAGUANAS WEST,24272,18029,0.7427900461437047,82,17947,1519,0.08463810107538865,11150.0,0.6212737504875466,5278.0,0.2940881484370647,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.536635649412158
COUVA NORTH,25898,18992,0.7333384817360414,72,18920,5249,0.277431289640592,8832.0,0.46680761099365753,4839.0,0.25576109936575053,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.18937632135306554
COUVA SOUTH,25188,17987,0.714109893600127,53,17934,5097,0.28420876547340246,8428.0,0.46994535519125685,4409.0,0.2458458793353407,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.1857365897178544
CUMUTO/MANZANILLA,24700,17751,0.718663967611336,76,17675,7124,0.40305516265912306,7368.0,0.41685997171145683,3183.0,0.18008486562942008,0.0,0.0,0.0,0.0,0.0,0.0,2007,20207.88,14170.0,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.N.C._VOTES_%,0.013804809052333777
