Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
12/31/1962,630,,
12/31/1963,740,17.46,
12/31/1964,800,8.11,
12/31/1965,800,0,
12/31/1966,740,-7.5,
12/31/1967,750,1.35,
12/31/1968,760,1.33,
12/31/1969,770,1.32,
12/31/1970,790,2.6,
12/31/1971,830,5.06,
12/31/1972,960,15.66,
12/31/1973,1150,19.79,
12/31/1974,1440,25.22,
12/31/1975,2080,44.44,
12/31/1976,2430,16.83,
12/31/1977,2700,11.11,
12/31/1978,3230,19.63,
12/31/1979,3780,17.03,
12/31/1980,4940,30.69,
12/31/1981,5840,18.22,
12/31/1982,6490,11.13,
12/31/1983,5950,-8.32,
12/31/1984,5880,-1.18,
12/31/1985,5750,-2.21,
12/31/1986,4950,-13.91,
12/31/1987,4160,-15.96,
12/31/1988,3800,-8.65,
12/31/1989,3500,-7.89,
12/31/1990,3570,2,
12/31/1991,3750,5.04,
12/31/1992,4250,13.33,
12/31/1993,3920,-7.76,
12/31/1994,3720,-5.1,
12/31/1995,3810,2.42,
12/31/1996,4050,6.3,
12/31/1997,4300,6.17,
12/31/1998,4410,2.56,
12/31/1999,4650,5.44,
12/31/2000,5140,10.54,
12/31/2001,5770,12.26,
12/31/2002,6420,11.27,
12/31/2003,7650,19.16,
12/31/2004,9190,20.13,
12/31/2005,10590,15.23,
12/31/2006,12560,18.6,
12/31/2007,14170,12.82,
12/31/2008,16370,15.53,
12/31/2009,15270,-6.72,
12/31/2010,15500,1.51,
12/31/2011,14090,-9.1,
12/31/2012,16890,19.87,
12/31/2013,18860,11.66,
12/31/2014,19290,2.28,
12/31/2015,19170,-0.62,
12/31/2016,16550,-13.67,
12/31/2017,15640,-5.5,
12/31/2018,15430,-1.34,
12/31/2019,15740,2.01,
12/31/2020,13670,-13.15,
12/31/2021,14850,8.63,
12/31/2022,16190,9.02,
12/31/2023,17940,10.81,
