DISTRICT,YEAR,ELASTICITY,SWING_PROB,INCUMBENT
BARATARIA/SAN JUAN,2024,LOW,HIGH,0
CHAGUANAS EAST,2024,MODERATE,HIGH,0
CUMUTO/MANZANILLA,2024,LOW,LOW,0
LA HORQUETTA/TALPARO,2024,MODERATE,MODERATE,1
MAYARO,2024,MODERATE,LOW,0
MORUGA/TABLELAND,2024,VERY HIGH,HIGH,0
POINTE-A-PIERRE,2024,MODERATE,HIGH,0
SAN FERNANDO WEST,2024,VERY HIGH,MODERATE,1
ST. JOSEPH,2024,LOW,VERY HIGH,1
TOBAGO EAST,2024,VERY HIGH,HIGH,1
TOCO/SANGRE GRANDE,2024,MODERATE,LOW,1
TUNAPUNA,2024,LOW,MODERATE,1
BARATARIA/SAN JUAN,2020,LOW,VERY HIGH,0
CHAGUANAS EAST,2020,MODERATE,HIGH,0
CUMUTO/MANZANILLA,2020,LOW,LOW,0
LA HORQUETTA/TALPARO,2020,MODERATE,LOW,1
MAYARO,2020,MODERATE,MODERATE,0
MORUGA/TABLELAND,2020,VERY HIGH,VERY HIGH,1
POINTE-A-PIERRE,2020,MODERATE,HIGH,0
SAN FERNANDO WEST,2020,VERY HIGH,LOW,1
ST. JOSEPH,2020,LOW,HIGH,1
TOBAGO EAST,2020,VERY HIGH,VERY LOW,1
TOCO/SANGRE GRANDE,2020,MODERATE,LOW,1
TUNAPUNA,2020,LOW,LOW,1
BARATARIA/SAN JUAN,2015,LOW,VERY LOW,0
CHAGUANAS EAST,2015,MODERATE,VERY LOW,0
CUMUTO/MANZANILLA,2015,LOW,VERY LOW,0
LA HORQUETTA/TALPARO,2015,MODERATE,HIGH,0
MAYARO,2015,MODERATE,VERY LOW,0
MORUGA/TABLELAND,2015,VERY HIGH,VERY HIGH,0
POINTE-A-PIERRE,2015,MODERATE,VERY LOW,0
SAN FERNANDO WEST,2015,VERY LOW,HIGH,0
ST. JOSEPH,2015,LOW,LOW,0
TOBAGO EAST,2015,VERY HIGH,LOW,0
TOCO/SANGRE GRANDE,2015,MODERATE,VERY HIGH,0
TUNAPUNA,2015,LOW,MODERATE,0
BARATARIA/SAN JUAN,2010,LOW,MODERATE,1
CHAGUANAS EAST,2010,MODERATE,MODERATE,1
CUMUTO/MANZANILLA,2010,LOW,VERY HIGH,0
LA HORQUETTA/TALPARO,2010,MODERATE,VERY LOW,1
MAYARO,2010,MODERATE,VERY HIGH,0
MORUGA/TABLELAND,2010,VERY HIGH,VERY HIGH,1
POINTE-A-PIERRE,2010,MODERATE,HIGH,1
SAN FERNANDO WEST,2010,VERY HIGH,LOW,1
ST. JOSEPH,2010,LOW,LOW,1
TOBAGO EAST,2010,VERY HIGH,HIGH,1
TOCO/SANGRE GRANDE,2010,MODERATE,VERY LOW,1
TUNAPUNA,2010,LOW,VERY LOW,1
BARATARIA/SAN JUAN,2007,LOW,HIGH,0
CHAGUANAS EAST,2007,MODERATE,MODERATE,0
CUMUTO/MANZANILLA,2007,LOW,VERY LOW,0
LA HORQUETTA/TALPARO,2007,MODERATE,LOW,0
MAYARO,2007,MODERATE,MODERATE,1
MORUGA/TABLELAND,2007,VERY HIGH,VERY HIGH,1
POINTE-A-PIERRE,2007,MODERATE,MODERATE,0
SAN FERNANDO WEST,2007,LOW,VERY HIGH,1
ST. JOSEPH,2007,MODERATE,HIGH,0
TOBAGO EAST,2007,VERY HIGH,VERY LOW,1
TOCO/SANGRE GRANDE,2007,MODERATE,VERY LOW,1
TUNAPUNA,2007,LOW,VERY HIGH,1
