,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
0,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2023,27372285697.9477,,,0
1,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2022,30053446092.0128,,,0
2,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2021,24496397204.7176,,,0
3,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2020,20807716174.0546,,,0
4,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2019,23775659262.5735,,,0
5,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2018,24569257295.0918,,,0
6,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2017,24040211327.4898,,,0
7,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2016,23722678429.8078,,,0
8,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2015,27026750552.9647,,,0
9,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2014,29697674913.5408,,,0
10,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2013,28709859468.8597,,,0
11,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2012,27334568806.1922,,,0
12,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2011,25433007437.1605,,,0
13,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2010,22157920592.3669,,,0
14,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2009,19172165225.5015,,,0
15,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2008,27871587349.5413,,,0
16,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2007,21641620049.9352,,,0
17,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2006,18369361094.3886,,,0
18,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2005,15982389018.4041,,,0
19,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2004,13280291989.5755,,,0
20,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2003,11305459802.0683,,,0
21,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2002,9008298228.60273,,,0
22,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2001,8824849191.03571,,,0
23,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2000,8154342116.10311,,,0
24,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1999,6808982520.75759,,,0
25,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1998,6043686653.62189,,,0
26,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1997,5737771523.10148,,,0
27,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1996,5759570336.11287,,,0
28,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1995,5329217747.21258,,,0
29,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1994,4947181645.55221,,,0
30,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1993,4669491134.2478,,,0
31,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1992,5439552941.17647,,,0
32,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1991,5307905882.35294,,,0
33,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1990,5068000000.0,,,0
34,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1989,4323058823.52941,,,0
35,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1988,4496910569.10569,,,0
36,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1987,4797777777.77778,,,0
37,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1986,4794444444.44444,,,0
38,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1985,7375918367.34694,,,0
39,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1984,7757083334.68006,,,0
40,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1983,7763750003.2349,,,0
41,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1982,8140416670.05851,,,0
42,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1981,6992083336.2467,,,0
43,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1980,6235833335.9316,,,0
44,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1979,4602416626.91767,,,0
45,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1978,3562333459.81764,,,0
46,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1977,3138666667.97444,,,0
47,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1976,2500424955.23006,,,0
48,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1975,2442669824.56431,,,0
49,"{'id': 'NY.GDP.MKTP.CD', 'value': 'GDP (current US$)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1974,2042001070.5079,,,0
