,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
0,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2023,,,,1
1,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2022,,,,1
2,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2021,,,,1
3,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2020,,,,1
4,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2019,32.899537992233,,,1
5,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2018,30.4797065431309,,,1
6,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2017,32.7548794048525,,,1
7,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2016,33.2881053971438,,,1
8,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2015,33.3176426514528,,,1
9,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2014,30.8642825335892,,,1
10,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2013,29.2890666170019,,,1
11,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2012,28.3280679577484,,,1
12,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2011,27.3237231592599,,,1
13,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2010,30.6976810034827,,,1
14,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2009,33.0138554038054,,,1
15,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2008,26.4320498016969,,,1
16,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2007,24.5123674266625,,,1
17,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2006,29.5059775859218,,,1
18,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2005,22.6525128974759,,,1
19,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2004,22.6183444973216,,,1
20,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2003,22.0993691073361,,,1
21,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2002,24.9003375377509,,,1
22,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2001,23.8616266597827,,,1
23,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2000,,,,1
24,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1999,,,,1
25,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1998,,,,1
26,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1997,,,,1
27,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1996,,,,1
28,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1995,,,,1
29,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1994,,,,1
30,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1993,,,,1
31,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1992,,,,1
32,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1991,,,,1
33,"{'id': 'GC.XPN.TOTL.GD.ZS', 'value': 'Expense (% of GDP)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,1990,,,,1
