,Unnamed: 0,Unnamed: 1,VOTES CAST,Unnamed: 3,Unnamed: 4,POLLED,VOTES,%,VOTES.1,%.1,VOTES.2,%.2,VOTES.3,%.3,VOTES.4,%.4,VOTES.5,%.5
0,ARIMA,22845,13464,0.5893630991464215,91,13373,8603,0.6433111493307411,1224,0.09152770507739474,3464,0.25902938757197336,,,,,82.0,0.006131758019890824
1,AROUCA/MALONEY,23673,15948,0.6736788746673426,40,15908,12055,0.7577948202162434,1480,0.09303495096806638,2373,0.14917022881569023,,,,,,
2,BARATARIA/SAN JUAN,24597,16451,0.6688214009838598,93,16358,7179,0.4388678322533317,5362,0.3277906834576354,3817,0.2333414842890329,,,,,,
3,CARONI CENTRAL,22813,16640,0.7294086704948932,46,16594,4579,0.2759431119681813,7615,0.45890080752079065,4400,0.26515608051102807,,,,,,
4,CARONI EAST,23554,16460,0.6988197333786194,64,16396,3833,0.23377653086118566,8333,0.5082337155403757,4230,0.2579897535984386,,,,,,
5,CHAGUANAS EAST,22383,15887,0.7097797435553769,51,15836,6757,0.4266860318262187,4993,0.31529426622884565,4086,0.25801970194493556,,,,,,
6,CHAGUANAS WEST,24272,18029,0.7427900461437047,82,17947,1519,0.08463810107538865,11150,0.6212737504875466,5278,0.2940881484370647,,,,,,
7,COUVA NORTH,25898,18992,0.7333384817360414,72,18920,5249,0.277431289640592,8832,0.46680761099365753,4839,0.25576109936575053,,,,,,
8,COUVA SOUTH,25188,17987,0.714109893600127,53,17934,5097,0.28420876547340246,8428,0.46994535519125685,4409,0.2458458793353407,,,,,,
9,CUMUTO/MANZANILLA,24700,17751,0.718663967611336,76,17675,7124,0.40305516265912306,7368,0.41685997171145683,3183,0.18008486562942008,,,,,,
10,D'ABADIE/O'MEARA,23916,15086,0.6307911021910019,41,15045,8877,0.5900299102691924,2425,0.1611831173147225,3695,0.24559654370222667,,,,,48.0,0.0031904287138584246
11,DIEGO MARTIN CENTRAL,25975,15483,0.5960731472569779,26,15457,9301,0.6017338422721097,582,0.037652843371935044,5574,0.36061331435595523,,,,,,
12,DIEGO MARTIN NORTH/EAST,27131,15289,0.563525118867716,40,15249,9349,0.6130893829103548,877,0.0575119679979015,5023,0.3293986490917437,,,,,,
13,DIEGO MARTIN WEST,26651,15399,0.5778019586507073,65,15334,9221,0.6013434198513108,513,0.033455067170992565,5600,0.3652015129776966,,,,,,
14,FYZABAD,24752,18562,0.7499191984486102,65,18497,7201,0.3893063740065957,7562,0.40882305238687355,3734,0.2018705736065308,,,,,,
15,LA BREA,23034,15497,0.6727880524442129,91,15406,10055,0.6526677917694405,3490,0.22653511618849798,1861,0.12079709204206153,,,,,,
16,LA HORQUETTA/TALPARO,22689,14479,0.6381506456873375,68,14411,8324,0.5776143223926168,3494,0.242453681215738,2593,0.17993199639164528,,,,,,
17,LAVENTILLE EAST/MORVANT,26529,13767,0.5189415356779373,56,13711,11069,0.8073080008752097,1107,0.08073809350156809,1535,0.11195390562322223,,,,,,
18,LAVENTILLE WEST,25633,12110,0.472437873054266,45,12065,10637,0.8816411106506423,343,0.028429341069208455,1085,0.0899295482801492,,,,,,
19,LOPINOT/BON AIR WEST,22834,15690,0.6871332223876675,58,15632,8535,0.5459953940634595,3907,0.2499360286591607,3190,0.20406857727737973,,,,,,
