,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
0,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2023,4.62930242419968,,,1
1,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2022,5.82838638517959,,,1
2,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2021,2.05922746915458,,,1
3,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2020,0.598986330824643,,,1
4,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2019,1.00054293027237,,,1
5,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2018,1.01856930188822,,,1
6,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2017,1.88038440183532,,,1
7,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2016,3.07066742464024,,,1
8,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2015,4.66121598098264,,,1
9,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2014,5.68441814595659,,,1
10,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2013,5.19981740465611,,,1
11,"{'id': 'FP.CPI.TOTL.ZG', 'value': 'Inflation, consumer prices (annual %)'}","{'id': 'TT', 'value': 'Trinidad and Tobago'}",TTO,2012,9.26028137068292,,,1
